# Gene set generated on 2022-09-20T13:31:02 using cellxgene version 1.1.0,,,
# Input data file was BloodGlyco.h5ad, which was last modified on 2022-09-16T10:10:25,,
gene_set_name,gene_set_description,gene_symbol,gene_description
capping_synth,,ST3GAL6,
capping_synth,,SIAE,
capping_synth,,ST3GAL1,
core_synth,,PIGH,
core_synth,,B3GAT3,
core_synth,,NAGPA,
core_synth,,GALNT16,
core_synth,,RFNG,
core_synth,,HAS1,
core_synth,,PIGS,
core_synth,,PIGG,
core_synth,,GALNT1,
core_synth,,B3GALT4,
core_synth,,TMTC1,
core_synth,,PGAP4,
core_synth,,B3GALNT2,
core_synth,,B4GALT2,
core_synth,,PIGV,
core_synth,,ALG5,
core_synth,,PXYLP1,
core_synth,,POMT1,
core_synth,,MOGS,
core_synth,,PIGY,
core_synth,,C1GALT1C1,
core_synth,,OGA,
core_synth,,LFNG,
core_synth,,DPAGT1,
core_synth,,ALG9,
core_synth,,B3GNT7,
core_synth,,B4GALT1,
core_synth,,RPN2,
core_synth,,B3GNT6,
core_synth,,B4GALT3,
core_synth,,GCNT3,
core_synth,,PIGL,
core_synth,,GXYLT1,
core_synth,,GALNT12,
core_synth,,POMT2,
core_synth,,GALNT7,
core_synth,,GALNT17,
core_synth,,PIGF,
core_synth,,PLOD2,
core_synth,,PIGO,
core_synth,,MGAT4B,
core_synth,,COLGALT2,
core_synth,,XYLT1,
core_synth,,PIGW,
core_synth,,A4GALT,
core_synth,,GALNT8,
core_synth,,UGT8,
core_synth,,STT3B,
core_synth,,TMTC3,
core_synth,,ALG3,
core_synth,,PIGU,
core_synth,,POFUT1,
core_synth,,MAN1C1,
core_synth,,B3GALT5,
core_synth,,ALG1L2,
core_synth,,MPPE1,
core_synth,,ALG2,
core_synth,,ALG10,
core_synth,,B4GALT4,
core_synth,,FUT8,
core_synth,,GALNT11,
core_synth,,MAN2A2,
core_synth,,MFNG,
core_synth,,MGAT5,
core_synth,,GCNT4,
core_synth,,MGAT4A,
core_synth,,B3GALT2,
core_synth,,DPY19L2,
core_synth,,DAD1,
core_synth,,B3GNT5,
core_synth,,DPM3,
core_synth,,FKTN,
core_synth,,B4GALT5,
core_synth,,MAN1A2,
core_synth,,ALG13,
core_synth,,B3GLCT,
core_synth,,B4GALNT1,
core_synth,,PIGK,
core_synth,,UGGT2,
core_synth,,POMK,
core_synth,,GALNT9,
core_synth,,POGLUT2,
core_synth,,B3GNT3,
core_synth,,GALNT4,
core_synth,,PLOD1,
core_synth,,PIGX,
core_synth,,MGAT3,
core_synth,,POFUT2,
core_synth,,PRKCSH,
core_synth,,MGAT1,
core_synth,,ALG6,
core_synth,,UGGT1,
core_synth,,DPM1,
core_synth,,MAN1A1,
core_synth,,ALG14,
core_synth,,GPAA1,
core_synth,,GALNT5,
core_synth,,PIGA,
core_synth,,MGAT5B,
core_synth,,PIGC,
core_synth,,GALNT18,
core_synth,,COLGALT1,
core_synth,,GCNT1,
core_synth,,PIGM,
core_synth,,PIGQ,
core_synth,,POMGNT1,
core_synth,,FAM20B,
core_synth,,ALG1,
core_synth,,B4GALT7,
core_synth,,EDEM3,
core_synth,,MANEA,
core_synth,,GALNT6,
core_synth,,PIGZ,
core_synth,,POGLUT1,
core_synth,,MGAT4C,
core_synth,,ALG12,
core_synth,,EDEM1,
core_synth,,DPM2,
core_synth,,GALNT10,
core_synth,,GALNT3,
core_synth,,CSGALNACT2,
core_synth,,GNPTG,
core_synth,,B3GALNT1,
core_synth,,ALG11,
core_synth,,OGT,
core_synth,,GALNT13,
core_synth,,GNPTAB,
core_synth,,B3GNT2,
core_synth,,HAS3,
core_synth,,GALNT2,
core_synth,,TMTC2,
core_synth,,EXTL3,
core_synth,,B3GALT1,
core_synth,,PIGT,
core_synth,,RXYLT1,
core_synth,,EDEM2,
core_synth,,PIGB,
core_synth,,GANAB,
core_synth,,PIGP,
core_synth,,UGCG,
core_synth,,FKRP,
core_synth,,A4GNT,
core_synth,,PLOD3,
core_synth,,STT3A,
core_synth,,DDOST,
core_synth,,C1GALT1,
core_synth,,XXYLT1,
core_synth,,MAN1B1,
core_synth,,DPY19L4,
core_synth,,ALG10B,
core_synth,,DPY19L1,
core_synth,,MAN2A1,
core_synth,,POGLUT3,
core_synth,,LARGE1,
core_synth,,B4GAT1,
core_synth,,RPN1,
core_synth,,B4GALT6,
core_synth,,PIGN,
core_synth,,GALNT15,
core_synth,,TMTC4,
core_synth,,CSGALNACT1,
core_synth,,DPY19L3,
core_synth,,ALG1L,
core_synth,,CRPPA,
core_synth,,XYLT2,
core_synth,,HAS2,
core_synth,,LARGE2,
core_synth,,GALNT14,
core_synth,,GXYLT2,
core_synth,,ALG8,
core_synth,,MGAT2,
core_synth,,POMGNT2,
core_synth,,B3GALT6,
all_degrad,,GLB1,
all_degrad,,GBA3,
all_degrad,,IDUA,
all_degrad,,ARSK,
all_degrad,,NEU1,
all_degrad,,HPSE2,
all_degrad,,HEXB,
all_degrad,,GALC,
all_degrad,,GANC,
all_degrad,,HYAL2,
all_degrad,,MAN2C1,
all_degrad,,MANBA,
all_degrad,,PGGHG,
all_degrad,,SPAM1,
all_degrad,,MAN2B2,
all_degrad,,FUCA2,
all_degrad,,HPSE,
all_degrad,,GAA,
all_degrad,,ARSG,
all_degrad,,CTBS,
all_degrad,,GLA,
all_degrad,,IDS,
all_degrad,,HYAL4,
all_degrad,,NEU2,
all_degrad,,HEXA,
all_degrad,,HGSNAT,
all_degrad,,SULF2,
all_degrad,,NEU3,
all_degrad,,NAGA,
all_degrad,,GBA2,
all_degrad,,HYAL3,
all_degrad,,GALNS,
all_degrad,,SULF1,
all_degrad,,GNS,
all_degrad,,NAGLU,
all_degrad,,ARSB,
all_degrad,,HYAL1,
all_degrad,,AGA,
all_degrad,,GUSB,
all_degrad,,CEMIP2,
all_degrad,,SGSH,
all_degrad,,FUCA1,
all_degrad,,GBA,
all_degrad,,ENGASE,
all_degrad,,MAN2B1,
all_degrad,,NEU4,
donor_transp,,SLC35D1,
donor_transp,,SLC35B3,
donor_transp,,SLC35C1,
donor_transp,,SLC35D2,
donor_transp,,SLC35A1,
donor_transp,,SLC35B4,
donor_transp,,SLC35A3,
donor_transp,,SLC35B2,
donor_transp,,SLC35A2,
elongBranch_synth,,DSE,
elongBranch_synth,,C1GALT1,
elongBranch_synth,,B3GALT1,
elongBranch_synth,,CHSY3,
elongBranch_synth,,B4GALNT4,
elongBranch_synth,,CHPF2,
elongBranch_synth,,B3GNT2,
elongBranch_synth,,EXT2,
elongBranch_synth,,B3GALT2,
elongBranch_synth,,B4GALT1,
elongBranch_synth,,EXT1,
elongBranch_synth,,B4GALT5,
elongBranch_synth,,CHST9,
elongBranch_synth,,EXTL2,
elongBranch_synth,,CSGALNACT1,
elongBranch_synth,,B3GNT4,
elongBranch_synth,,B4GALT3,
